model,id,band,answerable,question,majority_answer,stated_conf,consistency,sem_entropy,logprob,correct,n_samples,n_conf_parsed
Qwen/Qwen2.5-7B-Instruct,tqa_0,triviaqa,True,Which Cole Porter play won the first Tony Award for best musical in 1949?,"Kiss Me, Kate",0.9375,1.0,-0.0,-0.0341721730538213,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_1,triviaqa,True,"Who, after marrying in 1791, and living in Naples, became the mistress of Lord Nelson, having his child, Horatia, in 1803?",Emma Hamilton,0.8875,1.0,-0.0,-0.1241823584172342,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_2,triviaqa,True,The term 'the fourth wall' would be used for an imaginary wall in what type of building?,theater,0.875,1.0,-0.0,-0.0972035839897878,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_3,triviaqa,True,Which millionaire introduced a free school milk programme in Chicago to combat rickets?,Charles Yerkes,0.7,0.375,1.6674619334292948,-0.31602266332112733,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_4,triviaqa,True,Which US comic superhero has the real name Steve Rogers?,Steve Rogers,1.0,1.0,-0.0,-0.005210564797800124,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_5,triviaqa,True,"According to Arthurian legend, Arthur's wife Guinevere, had a little on the side with which Knight of the Round Table?",Lancelot,0.86875,1.0,-0.0,-0.07035554448209672,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_6,triviaqa,True,"Who won the 2010 Boston Marathon with a time of 2:05:52, easily breaking the course record of 2:07:14?",Wilson Kipsang,0.90625,1.0,-0.0,-0.1287121858389983,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_7,triviaqa,True,"In alphabetical order, what is the last U.S. state?",Wyoming,0.99375,1.0,-0.0,-0.04063425876463506,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_8,triviaqa,True,"In internet/texting parlance, what does tl;dr mean?",Too long; didn't read,0.9875,1.0,-0.0,-0.08357583396790816,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_9,triviaqa,True,"What commonly used English Latin expression means literally 'so' or 'thus' or 'in this manner', and generally refers to a quoted error?",Ergo,0.8875,0.75,0.5623351446188083,-0.16928060025430053,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_10,triviaqa,True,Tala is the basic monetary unit of which country?,Iraq,0.85,1.0,-0.0,-0.054883572701948484,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_11,triviaqa,True,"What is the next in the series: Nigeria, Sierra Leone, Tanganyika, Uganda, Zanzibar, Kenya, Malawi, Zambia, Gambia, Botswana, Lesotho, Mauritius",Zimbabwe,0.85,1.0,-0.0,-0.04042937215349825,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_12,triviaqa,True,The fashion designer Jimmy Choo is best known for designing which item of clothing?,Shoes,0.95,1.0,-0.0,-0.016835837668085416,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_13,triviaqa,True,"In Edwin Landseer's painting, 'Dignity and Impudence', what kind of creatures are depicted?",Dogs,0.9375,1.0,-0.0,-0.1406270689914519,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_14,triviaqa,True,What type of animal is Baloo in the novel ‘The Jungle Book’ by Rudyard Kipling?,Bear,1.0,1.0,-0.0,-0.00989521087740286,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_15,triviaqa,True,The islands called the Moluccas were previously known as what?,Spice Islands,0.93125,1.0,-0.0,-0.10618321737825909,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_16,triviaqa,True,"Which side did Lancashire beat in the last match of the 2008 County Cricket Championship, thus staving off all thoughts of relegation?",Gloucestershire,0.85,0.625,1.0735428464085233,-0.15201131372943277,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_17,triviaqa,True,How many squares are there in a standard 'Sudoku' grid?,81,1.0,1.0,-0.0,-0.01746223161433136,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_18,triviaqa,True,What was Tony Blair’s constituency?,Sedgefield,0.8875,1.0,-0.0,-0.08908374754537363,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_19,triviaqa,True,"Which European country has regions called Karlovy Vary, Plzeň and South Bohemia?",Czech Republic,0.95,1.0,-0.0,-0.012602939381091952,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_20,triviaqa,True,What was the name of the Cunard ocean liner which was launched on 20th September 1906?,Lusitania,0.86875,0.875,0.37677016125643675,-0.09413615362559688,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_21,triviaqa,True,What is the name of the giraffe that Toys-r-us uses as its' mascot?,None,0.85,0.625,1.0735428464085233,-0.2472316113702103,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_22,triviaqa,True,The 2007 film 300 is a fictionalised retelling of which battle?,Thermopylae,0.875,0.875,0.37677016125643675,-0.08734123706337625,True,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_23,triviaqa,True,"What is the name of the system of stellar designation in which a specific star is identified by a Greek letter (then Latin letters in lower-case then upper-case), followed by the genitive form of its parent constellation's Latin name (e.g. Tauri)?",Hipparchian system,0.85,0.5,0.9743147528693494,-0.14101152173400403,False,8,8
Qwen/Qwen2.5-7B-Instruct,tqa_24,triviaqa,True,In which sport could the Pacers take on the Pistons?,Basketball,0.95,1.0,-0.0,-0.03794442732425358,True,8,8
